"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1705049742668161064","Fri Sep 22 02:43:50 +0000 2023","1","@jokowi Alhamdulillah semoga infrastukturnya segera terbangun dengan baik. ","1705050241161114017","","jokowi","in","sesuai SPPD","0","2","0","https://x.com/pejabrut/status/1705050241161114017","1100506281767399424","pejabrut"
"1705049742668161064","Fri Sep 22 09:19:50 +0000 2023","2","@jokowi It's great","1705149898738602333","","jokowi","en","","0","0","0","https://x.com/MrBanzz_/status/1705149898738602333","1469563262618324992","MrBanzz_"
"1705049742668161064","Wed Jul 10 09:17:04 +0000 2024","0","@jokowi @pikaso_me screenshot this","1810966460422050032","","jokowi","en","","0","1","0","https://x.com/jenongforever/status/1810966460422050032","85214731","jenongforever"
"1705049742668161064","Fri Sep 22 23:36:12 +0000 2023","1","@jokowi si raja selfie kerjanya selfie mulu pas ngomong planga-plongo nyari teks dulu","1705365410642817306","","jokowi","in","aboveground","0","0","0","https://x.com/ErwinRockerkids/status/1705365410642817306","1535911464","ErwinRockerkids"
"1705049742668161064","Fri Sep 22 06:57:18 +0000 2023","14","@jokowi BOCIL NUSANTARA SEDANG MERAJUT MIMPI DI SIANG BOLONG","1705114028945948833","","jokowi","in","Rohan, Middle Earth ","0","0","1","https://x.com/samhugget/status/1705114028945948833","2518915579","samhugget"
"1705049742668161064","Fri Sep 22 05:06:54 +0000 2023","1","@jokowi Seru banget nginep di bobocabin ya pak","1705086243674206411","","jokowi","in","Indonesia","0","3","0","https://x.com/txtdrhotel/status/1705086243674206411","1346056998761107456","txtdrhotel"
"1705049742668161064","Fri Sep 22 02:44:14 +0000 2023","43","@jokowi Hidup IKN jauhkan KKN","1705050343099306096","","jokowi","in","DMs Open","0","12","0","https://x.com/YapDiyan/status/1705050343099306096","862097413250711552","YapDiyan"
"1705049742668161064","Fri Sep 22 02:51:11 +0000 2023","12","@jokowi Membangun ditengah rakyat yg sedang sulit. https://t.co/9OI45xmxyK","1705052089616138419","https://pbs.twimg.com/media/F6mP1CAaUAA5sxr.jpg","jokowi","in","","0","2","0","https://x.com/aminfauziyunus2/status/1705052089616138419","1393643270","aminfauziyunus2"
"1705049742668161064","Fri Sep 22 02:54:42 +0000 2023","5","@jokowi Semoga lancar &amp; sukses IKN nya Yg pesimis dan mau perubahan biar ke laut aja!!","1705052977869054129","","jokowi","in","","0","3","0","https://x.com/MasBolali/status/1705052977869054129","1603718684148903938","MasBolali"
"1705049742668161064","Sat Sep 23 08:04:44 +0000 2023","0","@jokowi ayo pak. tenggat waktu dikit lg. jgn bikin cina kecewa. semangatt ","1705493385400967248","","jokowi","in","Medan Merdeka Timur","0","0","0","https://x.com/roymz_13/status/1705493385400967248","153369068","roymz_13"
"1705049742668161064","Fri Sep 22 04:34:37 +0000 2023","1","@jokowi Mau pamer² kebaikan dan keberhasilan diujung masa jabatannya tp malah terjadi kekacauan dmna² untuk masyarakat² yg dipimpinnya.","1705078121710629277","","jokowi","in","","0","0","0","https://x.com/AcehAlbes/status/1705078121710629277","1613945272907743232","AcehAlbes"
"1705049742668161064","Fri Sep 22 09:41:31 +0000 2023","1","@jokowi ","1705155354294931956","","jokowi","qme","surabaya","0","0","0","https://x.com/SipriJogo/status/1705155354294931956","622919759","SipriJogo"
