"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1628756996911693824","Thu Feb 23 23:56:28 +0000 2023","4","@jokowi Pak presiden yg terhormat tolong dicek anak buah bapak yg kaya raya dari harta yg ngga wajar.. Kami cape bayar pajak klo uang pajak nya mereka korup untuk anak istrinya.. Mereka hedon sedangkan kami rakyat jelata mau bayar sekolah dan kebutuhan hidup sehari hari ajh susah","1628906670314356736","","jokowi","in","Bogor Selatan, Indonesia","0","0","0","https://x.com/hantumuka2/status/1628906670314356736","728761327292817408","hantumuka2"
"1628756996911693824","Fri Feb 24 00:07:47 +0000 2023","9","@jokowi @setiant_D Hampir setiap tahun ada kasus pelecehan seksual di Surabaya - Jatim. Belum lagi di berbagai daerah2 Indonesia lainnya yang dilakukan oleh oknum guru di sekolah hingga tempat pendidikan agama. Revolusi Mental? https://t.co/UjKblTflUy","1628909516648763392","","jokowi","in","Monas, Indonesia","1","0","1","https://x.com/Pencerah___/status/1628909516648763392","1243096022659686400","Pencerah___"
"1628756996911693824","Fri Feb 24 00:26:31 +0000 2023","2","@jokowi Bpk lg nyiapin kota baru lah anak buah bpk lg ngedrama sm keluarga nya pak. Tolong lah pak..anak pejabat khusus pajak lg naik mobil mewah kami yg rakyat lg makan Indomie . Apa daya gaji PNS guru dan dokter. Kerja serius pak tp gaji main2..","1628914231952433152","","jokowi","in","","0","0","0","https://x.com/aku_viaah/status/1628914231952433152","1499393712140345345","aku_viaah"
"1628756996911693824","Fri Feb 24 01:17:21 +0000 2023","3","@jokowi Kalo bulan ide sendiri ngapain di jagain...?","1628927025842094081","","jokowi","in","","0","0","0","https://x.com/rachman0565/status/1628927025842094081","2357998424","rachman0565"
"1628756996911693824","Thu Feb 23 20:13:32 +0000 2023","2","@jokowi PRESIDEN ADALAH KEPALA NEGARA.. ISTRI PRESIDEN ADALAH IBU NEGARA.??? HAHAHA IBU YANG TOLOL. PULUHAN JUTA ANAK NEGARA PUTUS SEKOLAH KURANG GIZI DLL. AKAN TETAPI SANG IBU TIDAK MENGETAHUI DAN TIDAK PEDULI... TOLONG ISTILAH IBU NEGARA JANGAN DISEMATKAN LAGI PADA ISTRI PRESIDEN..","1628850565970280448","","jokowi","in","","0","1","0","https://x.com/PapahGedang8/status/1628850565970280448","1620512796940337155","PapahGedang8"
"1628756996911693824","Thu Feb 23 21:55:01 +0000 2023","3","@jokowi Tetap semangat dan tetap optimis pak. Terima kasih atas kepedulian bpk atas bangsa ini. Tetap sehat presiden kebanggaanku","1628876108195311616","","jokowi","in","Pekan Baru, Riau","0","1","0","https://x.com/danielgintingm/status/1628876108195311616","2742147296","danielgintingm"
"1628756996911693824","Thu Feb 23 23:00:57 +0000 2023","3","@jokowi Yang bener lu? Paling malemnya ke Aston ","1628892700480258048","","jokowi","in","","0","0","0","https://x.com/zenstrive/status/1628892700480258048","15870933","zenstrive"
"1628756996911693824","Thu Feb 23 23:05:51 +0000 2023","9","@jokowi Kota Nusantara atau ibu kota Negara RI beda ?. Ngpin menginap di sana pk?. Harga2 kebutuhan pokok meroket pk.. Tolong di perbaiki.","1628893931047116806","","jokowi","in","","0","0","0","https://x.com/FirmanXperia/status/1628893931047116806","1227003810","FirmanXperia"
"1628756996911693824","Fri Feb 24 00:31:59 +0000 2023","1","@jokowi #progress pak? #IKNSejahterakanIndonesia 🇮🇩","1628915609705811970","","jokowi","und","Indonesia 🇮🇩","0","0","1","https://x.com/AnggodoJosh/status/1628915609705811970","967969138676125696","AnggodoJosh"
"1628756996911693824","Fri Feb 24 00:54:56 +0000 2023","2","@jokowi Pak membangunnya nnti mau utang lagi? Janganlah pak itu membebani anak cucu kita bpk ngerti ga sih ..","1628921385954443265","","jokowi","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/raharjokw/status/1628921385954443265","774907379754242048","raharjokw"
"1628756996911693824","Fri Feb 24 01:23:38 +0000 2023","8","@jokowi Dagelan tok ya pak ?? Gedung yg katanya januari sudah berdiri apa cuma gedung yang bapak pakai ?? Gedung opoooo...","1628928604808843264","","jokowi","in","Jakarta Pusat, DKI Jakarta","0","0","1","https://x.com/Riez_1/status/1628928604808843264","626156275","Riez_1"
"1628756996911693824","Fri Feb 24 01:38:38 +0000 2023","2","@jokowi Hanya pakdhe yang gebet banget proyek ini harus jalan Karena tidak ada lagi proyek mercusuar yang bisa dimainkan","1628932381376942081","","jokowi","in","Tangerang","0","0","0","https://x.com/rang_casper/status/1628932381376942081","140737762","rang_casper"
"1628756996911693824","Fri Feb 24 01:51:55 +0000 2023","3","@jokowi Wah..ini pakde Jokowi pasti sdang bernostalgia saat beliau dulu bkerja dan tinggal di tengah belantara hutan HTI di Aceh Tengah ketika beliau masih bekerja di PT. Kertas Kraft Aceh Namun saat ini lokasinya yg berbeda yakni di kalimantan. Beliau orang2 yg surviveable dan tdk manja","1628935722303643650","","jokowi","in","Irkutsk, Russia","0","0","0","https://x.com/Muliadi75/status/1628935722303643650","1516395630679437315","Muliadi75"
